Geography,Total Population - Estimate,"Total Population - 
Margin of Error",Hispanic or Latino - Estimate,"Hispanic or Latino -
Margin of Error",Hispanic or Latino - Percent,Hispanic or Latino - Percent Margin of Error,"White alone, Not Hispanic or Latino - 
Estimate","White alone, Not Hispanic or Latino -
Margin of Error","White alone, Not Hispanic or Latino - 
Percent","White alone, Not Hispanic or Latino - Percent Margin of Error","Black alone, Not Hispanic or Latino - Estimate","Black alone, Not Hispanic or Latino -
Margin of Error","Black alone, Not Hispanic or Latino - Percent","Black alone, Not Hispanic or Latino - Percent Margin of Error","American Indian and Alaska Native alone, Not Hispanic or Latino - Estimate","American Indian and Alaska Native alone, Not Hispanic or Latino - Margin of Error","American Indian and Alaska Native alone, Not Hispanic or Latino - Percent","American Indian and Alaska Native alone, Not Hispanic or Latino - Percent Margin of Error","Asian alone, Not Hispanic or Latino - Estimate","Asian alone, Not Hispanic or Latino - 
Margin of Error","Asian alone, Not Hispanic or Latino - Percent","Asian alone, Not Hispanic or Latino - Percent Margin of Error","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino - 
Estimate","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino - 
Margin of Error","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino - 
Percent","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino - 
Percent Margin of Error","Some other race alone, Not Hispanic or Latino - 
Estimate","Some other race alone, Not Hispanic or Latino - 
Margin of Error","Some other race alone, Not Hispanic or Latino - 
Percent","Some other race alone, Not Hispanic or Latino - 
Percent Margin of Error","Two or more races alone, Not Hispanic or Latino - Estimate","Two or more races alone, Not Hispanic or Latino - Margin of Error","Two or more races alone, Not Hispanic or Latino - Percent","Two or more races alone, Not Hispanic or Latino - Percent Margin of Error"
Hayward city,"159,293",+/-109,"64,269","+/-1,701",40.3%,+/-1.1,"25,757","+/-1,181",16.2%,+/-0.7,"14,598","+/-1,216",9.2%,+/-0.8,576,+/-164,0.4%,+/-0.1,"43,088","+/-1,591",27.0%,+/-1.0,"3,461",+/-700,2.2%,+/-0.4,339,+/-187,0.2%,+/-0.1,"7,205",+/-821,4.5%,+/-0.5
Livermore city,"89,699",+/-71,"17,728","+/-1,139",19.8%,+/-1.3,"55,539","+/-1,297",61.9%,+/-1.4,"1,619",+/-601,1.8%,+/-0.7,130,+/-80,0.1%,+/-0.1,"10,213",+/-771,11.4%,+/-0.9,406,+/-174,0.5%,+/-0.2,84,+/-58,0.1%,+/-0.1,"3,980",+/-613,4.4%,+/-0.7
Newark city,"47,171",+/-40,"16,392",+/-915,34.8%,+/-1.9,"11,168",+/-770,23.7%,+/-1.6,"1,818",+/-595,3.9%,+/-1.3,130,+/-82,0.3%,+/-0.2,"15,586",+/-841,33.0%,+/-1.8,416,+/-198,0.9%,+/-0.4,81,+/-62,0.2%,+/-0.1,"1,580",+/-413,3.3%,+/-0.9
Oakland city,"425,097",+/-103,"114,942","+/-2,215",27.0%,+/-0.5,"120,225","+/-2,024",28.3%,+/-0.5,"98,749","+/-2,347",23.2%,+/-0.6,"1,455",+/-277,0.3%,+/-0.1,"65,195","+/-2,031",15.3%,+/-0.5,"2,237",+/-474,0.5%,+/-0.1,"1,812",+/-428,0.4%,+/-0.1,"20,482","+/-1,416",4.8%,+/-0.3
Piedmont city,"11,317",+/-52,470,+/-191,4.2%,+/-1.7,"8,025",+/-353,70.9%,+/-3.1,155,+/-112,1.4%,+/-1.0,4,+/-7,0.0%,+/-0.1,"2,020",+/-231,17.8%,+/-2.0,7,+/-12,0.1%,+/-0.1,10,+/-17,0.1%,+/-0.1,626,+/-214,5.5%,+/-1.9
Pleasanton city,"81,717",+/-33,"7,728",+/-862,9.5%,+/-1.1,"40,917","+/-1,057",50.1%,+/-1.3,"1,466",+/-538,1.8%,+/-0.7,228,+/-87,0.3%,+/-0.1,"27,904","+/-1,103",34.1%,+/-1.3,385,+/-235,0.5%,+/-0.3,138,+/-115,0.2%,+/-0.1,"2,951",+/-541,3.6%,+/-0.7
San Leandro city,"90,025",+/-68,"24,379","+/-1,202",27.1%,+/-1.3,"20,855",+/-857,23.2%,+/-1.0,"8,926","+/-1,007",9.9%,+/-1.1,397,+/-168,0.4%,+/-0.2,"31,077","+/-1,294",34.5%,+/-1.4,906,+/-409,1.0%,+/-0.5,226,+/-96,0.3%,+/-0.1,"3,259",+/-589,3.6%,+/-0.7
San Lorenzo CDP,"25,569",+/-928,"10,498",+/-865,41.1%,+/-2.7,"6,441",+/-709,25.2%,+/-2.6,660,+/-243,2.6%,+/-1.0,66,+/-45,0.3%,+/-0.2,"6,574",+/-573,25.7%,+/-2.3,366,+/-258,1.4%,+/-1.0,125,+/-72,0.5%,+/-0.3,839,+/-248,3.3%,+/-1.0
Sunol CDP,850,+/-156,56,+/-32,6.6%,+/-3.7,685,+/-148,80.6%,+/-7.0,4,+/-6,0.5%,+/-0.7,0,+/-12,0.0%,+/-4.0,97,+/-52,11.4%,+/-6.0,0,+/-12,0.0%,+/-4.0,0,+/-12,0.0%,+/-4.0,8,+/-8,0.9%,+/-0.9
Union City city,"74,722",+/-78,"15,108","+/-1,208",20.2%,+/-1.6,"11,544",+/-880,15.4%,+/-1.2,"3,656",+/-735,4.9%,+/-1.0,171,+/-84,0.2%,+/-0.1,"39,663","+/-1,239",53.1%,+/-1.7,"1,145",+/-379,1.5%,+/-0.5,32,+/-35,0.0%,+/-0.1,"3,403",+/-639,4.6%,+/-0.9
