Geography,Total Population - Estimate,"Total Population - 
Margin of Error",Hispanic or Latino - Estimate,"Hispanic or Latino -
Margin of Error",Hispanic or Latino - Percent,Hispanic or Latino - Percent Margin of Error,"White alone, Not Hispanic or Latino - 
Estimate","White alone, Not Hispanic or Latino -
Margin of Error","White alone, Not Hispanic or Latino - 
Percent","White alone, Not Hispanic or Latino - Percent Margin of Error","Black alone, Not Hispanic or Latino - Estimate","Black alone, Not Hispanic or Latino -
Margin of Error","Black alone, Not Hispanic or Latino - Percent","Black alone, Not Hispanic or Latino - Percent Margin of Error","American Indian and Alaska Native alone, Not Hispanic or Latino - Estimate","American Indian and Alaska Native alone, Not Hispanic or Latino - Margin of Error","American Indian and Alaska Native alone, Not Hispanic or Latino - Percent","American Indian and Alaska Native alone, Not Hispanic or Latino - Percent Margin of Error","Asian alone, Not Hispanic or Latino - Estimate","Asian alone, Not Hispanic or Latino - 
Margin of Error","Asian alone, Not Hispanic or Latino - Percent","Asian alone, Not Hispanic or Latino - Percent Margin of Error","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino - 
Estimate","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino - 
Margin of Error","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino - 
Percent","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino - 
Percent Margin of Error","Some other race alone, Not Hispanic or Latino - 
Estimate","Some other race alone, Not Hispanic or Latino - 
Margin of Error","Some other race alone, Not Hispanic or Latino - 
Percent","Some other race alone, Not Hispanic or Latino - 
Percent Margin of Error","Two or more races alone, Not Hispanic or Latino - Estimate","Two or more races alone, Not Hispanic or Latino - Margin of Error","Two or more races alone, Not Hispanic or Latino - Percent","Two or more races alone, Not Hispanic or Latino - Percent Margin of Error"
Butte Valley CDP,736,+/-274,14,+/-22,1.9%,+/-3.0,565,+/-169,76.8%,+/-18.0,0,+/-12,0.0%,+/-4.6,0,+/-12,0.0%,+/-4.6,0,+/-12,0.0%,+/-4.6,0,+/-12,0.0%,+/-4.6,0,+/-12,0.0%,+/-4.6,157,+/-168,21.3%,+/-18.4
Cherokee CDP,137,+/-118,0,+/-12,0.0%,+/-22.3,137,+/-118,100.0%,+/-22.3,0,+/-12,0.0%,+/-22.3,0,+/-12,0.0%,+/-22.3,0,+/-12,0.0%,+/-22.3,0,+/-12,0.0%,+/-22.3,0,+/-12,0.0%,+/-22.3,0,+/-12,0.0%,+/-22.3
Chico city,"94,529",+/-48,"17,362",+/-981,18.4%,+/-1.0,"66,778","+/-1,123",70.6%,+/-1.2,"1,949",+/-426,2.1%,+/-0.5,382,+/-147,0.4%,+/-0.2,"4,195",+/-574,4.4%,+/-0.6,291,+/-175,0.3%,+/-0.2,132,+/-149,0.1%,+/-0.2,"3,440",+/-496,3.6%,+/-0.5
Clipper Mills CDP,335,+/-238,45,+/-65,13.4%,+/-22.8,252,+/-250,75.2%,+/-38.6,0,+/-12,0.0%,+/-9.9,0,+/-12,0.0%,+/-9.9,0,+/-12,0.0%,+/-9.9,0,+/-12,0.0%,+/-9.9,0,+/-12,0.0%,+/-9.9,38,+/-46,11.3%,+/-16.4
Cohasset CDP,631,+/-292,18,+/-33,2.9%,+/-6.0,613,+/-291,97.1%,+/-6.0,0,+/-12,0.0%,+/-5.4,0,+/-12,0.0%,+/-5.4,0,+/-12,0.0%,+/-5.4,0,+/-12,0.0%,+/-5.4,0,+/-12,0.0%,+/-5.4,0,+/-12,0.0%,+/-5.4
Concow CDP,553,+/-147,96,+/-73,17.4%,+/-11.8,344,+/-97,62.2%,+/-11.8,0,+/-12,0.0%,+/-6.1,24,+/-39,4.3%,+/-6.7,0,+/-12,0.0%,+/-6.1,6,+/-9,1.1%,+/-1.5,0,+/-12,0.0%,+/-6.1,83,+/-53,15.0%,+/-8.9
Durham CDP,"5,987",+/-657,736,+/-271,12.3%,+/-4.3,"4,799",+/-597,80.2%,+/-5.8,112,+/-129,1.9%,+/-2.1,0,+/-17,0.0%,+/-0.6,40,+/-51,0.7%,+/-0.9,0,+/-17,0.0%,+/-0.6,18,+/-29,0.3%,+/-0.5,282,+/-161,4.7%,+/-2.5
Forbestown CDP,413,+/-230,0,+/-12,0.0%,+/-8.1,218,+/-108,52.8%,+/-42.0,0,+/-12,0.0%,+/-8.1,0,+/-12,0.0%,+/-8.1,0,+/-12,0.0%,+/-8.1,0,+/-12,0.0%,+/-8.1,0,+/-12,0.0%,+/-8.1,195,+/-241,47.2%,+/-42.0
Forest Ranch CDP,772,+/-266,121,+/-125,15.7%,+/-14.3,602,+/-219,78.0%,+/-14.5,0,+/-12,0.0%,+/-4.4,0,+/-12,0.0%,+/-4.4,0,+/-12,0.0%,+/-4.4,0,+/-12,0.0%,+/-4.4,0,+/-12,0.0%,+/-4.4,49,+/-67,6.3%,+/-8.4
Gridley city,"6,744",+/-29,"2,905",+/-496,43.1%,+/-7.4,"3,489",+/-497,51.7%,+/-7.4,7,+/-11,0.1%,+/-0.2,51,+/-84,0.8%,+/-1.2,161,+/-155,2.4%,+/-2.3,0,+/-17,0.0%,+/-0.5,0,+/-17,0.0%,+/-0.5,131,+/-83,1.9%,+/-1.2
Honcut CDP,116,+/-86,45,+/-48,38.8%,+/-34.5,53,+/-69,45.7%,+/-49.6,0,+/-12,0.0%,+/-25.6,0,+/-12,0.0%,+/-25.6,0,+/-12,0.0%,+/-25.6,18,+/-27,15.5%,+/-21.3,0,+/-12,0.0%,+/-25.6,0,+/-12,0.0%,+/-25.6
Kelly Ridge CDP,"2,850",+/-457,211,+/-115,7.4%,+/-3.9,"2,354",+/-443,82.6%,+/-5.7,32,+/-47,1.1%,+/-1.6,82,+/-56,2.9%,+/-1.9,0,+/-12,0.0%,+/-1.2,0,+/-12,0.0%,+/-1.2,0,+/-12,0.0%,+/-1.2,171,+/-91,6.0%,+/-3.4
Magalia CDP,"11,476",+/-803,867,+/-269,7.6%,+/-2.4,"9,698",+/-823,84.5%,+/-3.7,5,+/-11,0.0%,+/-0.1,63,+/-49,0.5%,+/-0.4,98,+/-71,0.9%,+/-0.6,0,+/-19,0.0%,+/-0.3,0,+/-19,0.0%,+/-0.3,745,+/-331,6.5%,+/-2.9
Nord CDP,312,+/-262,43,+/-69,13.8%,+/-25.9,256,+/-263,82.1%,+/-30.7,0,+/-12,0.0%,+/-10.6,0,+/-12,0.0%,+/-10.6,0,+/-12,0.0%,+/-10.6,5,+/-15,1.6%,+/-5.4,0,+/-12,0.0%,+/-10.6,8,+/-27,2.6%,+/-10.1
Oroville city,"19,393",+/-40,"2,646",+/-528,13.6%,+/-2.7,"12,445",+/-671,64.2%,+/-3.4,801,+/-276,4.1%,+/-1.4,265,+/-126,1.4%,+/-0.7,"1,674",+/-562,8.6%,+/-2.9,89,+/-80,0.5%,+/-0.4,8,+/-13,0.0%,+/-0.1,"1,465",+/-366,7.6%,+/-1.9
Oroville East CDP,"7,771",+/-657,605,+/-213,7.8%,+/-2.7,"5,965",+/-659,76.8%,+/-4.5,36,+/-48,0.5%,+/-0.6,160,+/-67,2.1%,+/-0.8,535,+/-235,6.9%,+/-3.1,14,+/-22,0.2%,+/-0.3,47,+/-50,0.6%,+/-0.6,409,+/-190,5.3%,+/-2.4
Palermo CDP,"5,395",+/-478,"1,505",+/-324,27.9%,+/-5.3,"3,151",+/-416,58.4%,+/-6.0,75,+/-56,1.4%,+/-1.1,184,+/-113,3.4%,+/-2.0,216,+/-145,4.0%,+/-2.7,0,+/-17,0.0%,+/-0.6,0,+/-17,0.0%,+/-0.6,264,+/-135,4.9%,+/-2.5
Paradise town,"22,135",+/-25,"1,743",+/-419,7.9%,+/-1.9,"18,868",+/-659,85.2%,+/-3.0,81,+/-73,0.4%,+/-0.3,129,+/-89,0.6%,+/-0.4,232,+/-141,1.0%,+/-0.6,1,+/-4,0.0%,+/-0.1,29,+/-45,0.1%,+/-0.2,"1,052",+/-514,4.8%,+/-2.3
Rackerby CDP,208,+/-120,33,+/-26,15.9%,+/-7.9,152,+/-88,73.1%,+/-13.0,12,+/-21,5.8%,+/-9.2,0,+/-12,0.0%,+/-15.4,0,+/-12,0.0%,+/-15.4,0,+/-12,0.0%,+/-15.4,0,+/-12,0.0%,+/-15.4,11,+/-13,5.3%,+/-5.7
Richvale CDP,209,+/-210,0,+/-12,0.0%,+/-15.4,172,+/-185,82.3%,+/-16.5,0,+/-12,0.0%,+/-15.4,0,+/-12,0.0%,+/-15.4,0,+/-12,0.0%,+/-15.4,0,+/-12,0.0%,+/-15.4,0,+/-12,0.0%,+/-15.4,37,+/-38,17.7%,+/-16.5
Robinson Mill CDP,53,+/-36,0,+/-12,0.0%,+/-42.3,53,+/-36,100.0%,+/-42.3,0,+/-12,0.0%,+/-42.3,0,+/-12,0.0%,+/-42.3,0,+/-12,0.0%,+/-42.3,0,+/-12,0.0%,+/-42.3,0,+/-12,0.0%,+/-42.3,0,+/-12,0.0%,+/-42.3
South Oroville CDP,"2,906",+/-419,543,+/-198,18.7%,+/-6.3,"1,507",+/-376,51.9%,+/-10.9,10,+/-17,0.3%,+/-0.6,84,+/-66,2.9%,+/-2.2,421,+/-308,14.5%,+/-9.8,9,+/-21,0.3%,+/-0.7,0,+/-12,0.0%,+/-1.2,332,+/-147,11.4%,+/-5.5
Stirling City CDP,374,+/-253,145,+/-193,38.8%,+/-42.2,229,+/-181,61.2%,+/-42.2,0,+/-12,0.0%,+/-8.9,0,+/-12,0.0%,+/-8.9,0,+/-12,0.0%,+/-8.9,0,+/-12,0.0%,+/-8.9,0,+/-12,0.0%,+/-8.9,0,+/-12,0.0%,+/-8.9
Thermalito CDP,"6,894",+/-571,753,+/-216,10.9%,+/-3.0,"4,159",+/-412,60.3%,+/-4.8,82,+/-79,1.2%,+/-1.2,64,+/-68,0.9%,+/-1.0,"1,453",+/-412,21.1%,+/-5.3,10,+/-15,0.1%,+/-0.2,0,+/-17,0.0%,+/-0.5,373,+/-174,5.4%,+/-2.4
Yankee Hill CDP,279,+/-96,70,+/-41,25.1%,+/-10.4,204,+/-70,73.1%,+/-10.0,0,+/-12,0.0%,+/-11.8,5,+/-8,1.8%,+/-2.9,0,+/-12,0.0%,+/-11.8,0,+/-12,0.0%,+/-11.8,0,+/-12,0.0%,+/-11.8,0,+/-12,0.0%,+/-11.8
Calaveras County,"45,514",*****,"5,489",*****,12.1%,*****,"36,837",+/-99,80.9%,+/-0.2,315,+/-157,0.7%,+/-0.3,184,+/-113,0.4%,+/-0.2,684,+/-146,1.5%,+/-0.3,19,+/-21,0.0%,+/-0.1,55,+/-64,0.1%,+/-0.1,"1,931",+/-260,4.2%,+/-0.6
Angels city,"3,875",+/-22,355,+/-236,9.2%,+/-6.1,"3,232",+/-261,83.4%,+/-6.8,0,+/-12,0.0%,+/-0.9,63,+/-73,1.6%,+/-1.9,14,+/-22,0.4%,+/-0.6,0,+/-12,0.0%,+/-0.9,0,+/-12,0.0%,+/-0.9,211,+/-160,5.4%,+/-4.1
Arnold CDP,"2,291",+/-397,103,+/-84,4.5%,+/-3.5,"2,133",+/-371,93.1%,+/-4.0,0,+/-12,0.0%,+/-1.5,0,+/-12,0.0%,+/-1.5,32,+/-34,1.4%,+/-1.5,0,+/-12,0.0%,+/-1.5,0,+/-12,0.0%,+/-1.5,23,+/-24,1.0%,+/-1.0
Avery CDP,561,+/-294,31,+/-52,5.5%,+/-7.5,530,+/-257,94.5%,+/-7.5,0,+/-12,0.0%,+/-6.0,0,+/-12,0.0%,+/-6.0,0,+/-12,0.0%,+/-6.0,0,+/-12,0.0%,+/-6.0,0,+/-12,0.0%,+/-6.0,0,+/-12,0.0%,+/-6.0
Copperopolis CDP,"4,361",+/-440,512,+/-221,11.7%,+/-4.8,"3,620",+/-418,83.0%,+/-5.9,84,+/-119,1.9%,+/-2.7,0,+/-12,0.0%,+/-0.8,57,+/-46,1.3%,+/-1.1,0,+/-12,0.0%,+/-0.8,0,+/-12,0.0%,+/-0.8,88,+/-86,2.0%,+/-2.0
Dorrington CDP,278,+/-122,0,+/-12,0.0%,+/-11.8,273,+/-119,98.2%,+/-2.5,0,+/-12,0.0%,+/-11.8,0,+/-12,0.0%,+/-11.8,5,+/-7,1.8%,+/-2.5,0,+/-12,0.0%,+/-11.8,0,+/-12,0.0%,+/-11.8,0,+/-12,0.0%,+/-11.8
Forest Meadows CDP,"1,327",+/-329,233,+/-203,17.6%,+/-13.6,"1,071",+/-263,80.7%,+/-13.4,0,+/-12,0.0%,+/-2.6,0,+/-12,0.0%,+/-2.6,12,+/-19,0.9%,+/-1.4,0,+/-12,0.0%,+/-2.6,0,+/-12,0.0%,+/-2.6,11,+/-22,0.8%,+/-1.6
Mokelumne Hill CDP,691,+/-416,292,+/-358,42.3%,+/-35.3,399,+/-207,57.7%,+/-35.3,0,+/-12,0.0%,+/-4.9,0,+/-12,0.0%,+/-4.9,0,+/-12,0.0%,+/-4.9,0,+/-12,0.0%,+/-4.9,0,+/-12,0.0%,+/-4.9,0,+/-12,0.0%,+/-4.9
Mountain Ranch CDP,"1,141",+/-391,176,+/-143,15.4%,+/-11.2,917,+/-348,80.4%,+/-12.1,0,+/-12,0.0%,+/-3.0,35,+/-39,3.1%,+/-3.7,0,+/-12,0.0%,+/-3.0,0,+/-12,0.0%,+/-3.0,0,+/-12,0.0%,+/-3.0,13,+/-24,1.1%,+/-2.0
Murphys CDP,"2,188",+/-424,102,+/-109,4.7%,+/-4.9,"1,969",+/-359,90.0%,+/-7.2,0,+/-12,0.0%,+/-1.6,17,+/-20,0.8%,+/-0.9,0,+/-12,0.0%,+/-1.6,0,+/-12,0.0%,+/-1.6,0,+/-12,0.0%,+/-1.6,100,+/-147,4.6%,+/-6.2
Rail Road Flat CDP,191,+/-110,0,+/-12,0.0%,+/-16.7,165,+/-103,86.4%,+/-16.6,5,+/-6,2.6%,+/-3.2,0,+/-12,0.0%,+/-16.7,0,+/-12,0.0%,+/-16.7,0,+/-12,0.0%,+/-16.7,0,+/-12,0.0%,+/-16.7,21,+/-31,11.0%,+/-16.4
Rancho Calaveras CDP,"7,026",+/-828,984,+/-487,14.0%,+/-6.5,"5,537",+/-731,78.8%,+/-7.1,99,+/-136,1.4%,+/-2.0,15,+/-24,0.2%,+/-0.3,207,+/-154,2.9%,+/-2.2,0,+/-17,0.0%,+/-0.5,0,+/-17,0.0%,+/-0.5,184,+/-176,2.6%,+/-2.5
San Andreas CDP,"3,120",+/-691,350,+/-300,11.2%,+/-9.0,"2,399",+/-562,76.9%,+/-10.7,8,+/-14,0.3%,+/-0.5,1,+/-3,0.0%,+/-0.1,97,+/-79,3.1%,+/-2.5,0,+/-12,0.0%,+/-1.1,0,+/-12,0.0%,+/-1.1,265,+/-283,8.5%,+/-8.6
Vallecito CDP,234,+/-133,16,+/-28,6.8%,+/-11.6,218,+/-128,93.2%,+/-11.6,0,+/-12,0.0%,+/-13.9,0,+/-12,0.0%,+/-13.9,0,+/-12,0.0%,+/-13.9,0,+/-12,0.0%,+/-13.9,0,+/-12,0.0%,+/-13.9,0,+/-12,0.0%,+/-13.9
Valley Springs CDP,"3,502",+/-605,581,+/-285,16.6%,+/-7.4,"2,767",+/-546,79.0%,+/-8.0,0,+/-12,0.0%,+/-1.0,0,+/-12,0.0%,+/-1.0,16,+/-27,0.5%,+/-0.8,0,+/-12,0.0%,+/-1.0,0,+/-12,0.0%,+/-1.0,138,+/-112,3.9%,+/-3.2
Wallace CDP,944,+/-371,212,+/-259,22.5%,+/-28.1,688,+/-402,72.9%,+/-28.3,0,+/-12,0.0%,+/-3.6,0,+/-12,0.0%,+/-3.6,44,+/-60,4.7%,+/-6.3,0,+/-12,0.0%,+/-3.6,0,+/-12,0.0%,+/-3.6,0,+/-12,0.0%,+/-3.6
West Point CDP,454,+/-227,17,+/-26,3.7%,+/-5.7,389,+/-217,85.7%,+/-14.1,0,+/-12,0.0%,+/-7.4,29,+/-50,6.4%,+/-10.9,0,+/-12,0.0%,+/-7.4,0,+/-12,0.0%,+/-7.4,0,+/-12,0.0%,+/-7.4,19,+/-32,4.2%,+/-6.9
Colusa County,"21,454",*****,"12,738",*****,59.4%,*****,"7,576",+/-23,35.3%,+/-0.2,256,+/-45,1.2%,+/-0.2,143,+/-67,0.7%,+/-0.3,273,+/-79,1.3%,+/-0.4,38,+/-30,0.2%,+/-0.1,36,+/-45,0.2%,+/-0.2,394,+/-112,1.8%,+/-0.5
Arbuckle CDP,"3,809",+/-524,"2,901",+/-456,76.2%,+/-5.6,790,+/-239,20.7%,+/-5.4,0,+/-12,0.0%,+/-0.9,11,+/-15,0.3%,+/-0.4,0,+/-12,0.0%,+/-0.9,0,+/-12,0.0%,+/-0.9,0,+/-12,0.0%,+/-0.9,107,+/-93,2.8%,+/-2.5
College City CDP,170,+/-108,151,+/-109,88.8%,+/-14.0,19,+/-18,11.2%,+/-14.0,0,+/-12,0.0%,+/-18.5,0,+/-12,0.0%,+/-18.5,0,+/-12,0.0%,+/-18.5,0,+/-12,0.0%,+/-18.5,0,+/-12,0.0%,+/-18.5,0,+/-12,0.0%,+/-18.5
Colusa city,"6,106",+/-33,"3,334",+/-309,54.6%,+/-5.1,"2,347",+/-294,38.4%,+/-4.8,150,+/-71,2.5%,+/-1.2,27,+/-27,0.4%,+/-0.4,55,+/-47,0.9%,+/-0.8,4,+/-6,0.1%,+/-0.1,0,+/-17,0.0%,+/-0.6,189,+/-84,3.1%,+/-1.4
Grimes CDP,305,+/-195,140,+/-112,45.9%,+/-31.1,153,+/-148,50.2%,+/-30.2,0,+/-12,0.0%,+/-10.8,0,+/-12,0.0%,+/-10.8,0,+/-12,0.0%,+/-10.8,0,+/-12,0.0%,+/-10.8,0,+/-12,0.0%,+/-10.8,12,+/-19,3.9%,+/-6.1
Lodoga CDP,168,+/-77,0,+/-12,0.0%,+/-18.7,84,+/-35,50.0%,+/-21.8,67,+/-58,39.9%,+/-20.0,0,+/-12,0.0%,+/-18.7,0,+/-12,0.0%,+/-18.7,0,+/-12,0.0%,+/-18.7,0,+/-12,0.0%,+/-18.7,17,+/-25,10.1%,+/-13.7
Maxwell CDP,"1,076",+/-231,595,+/-199,55.3%,+/-11.7,432,+/-133,40.1%,+/-11.2,0,+/-12,0.0%,+/-3.2,12,+/-19,1.1%,+/-1.6,0,+/-12,0.0%,+/-3.2,0,+/-12,0.0%,+/-3.2,0,+/-12,0.0%,+/-3.2,37,+/-32,3.4%,+/-3.0
Princeton CDP,382,+/-141,123,+/-81,32.2%,+/-18.7,253,+/-121,66.2%,+/-18.9,0,+/-12,0.0%,+/-8.7,0,+/-12,0.0%,+/-8.7,0,+/-12,0.0%,+/-8.7,0,+/-12,0.0%,+/-8.7,0,+/-12,0.0%,+/-8.7,6,+/-7,1.6%,+/-1.8
Stonyford CDP,92,+/-42,4,+/-7,4.3%,+/-7.2,88,+/-41,95.7%,+/-7.2,0,+/-12,0.0%,+/-30.6,0,+/-12,0.0%,+/-30.6,0,+/-12,0.0%,+/-30.6,0,+/-12,0.0%,+/-30.6,0,+/-12,0.0%,+/-30.6,0,+/-12,0.0%,+/-30.6
Williams city,"5,228",+/-25,"4,233",+/-230,81.0%,+/-4.4,814,+/-216,15.6%,+/-4.1,9,+/-19,0.2%,+/-0.4,9,+/-14,0.2%,+/-0.3,133,+/-108,2.5%,+/-2.1,20,+/-24,0.4%,+/-0.5,0,+/-17,0.0%,+/-0.7,10,+/-15,0.2%,+/-0.3
Contra Costa County,"1,142,251",*****,"292,298",*****,25.6%,*****,"500,592",+/-537,43.8%,+/-0.1,"95,892","+/-1,240",8.4%,+/-0.1,"2,278",+/-322,0.2%,+/-0.1,"188,237","+/-1,851",16.5%,+/-0.2,"5,297",+/-369,0.5%,+/-0.1,"3,657",+/-700,0.3%,+/-0.1,"54,000","+/-2,120",4.7%,+/-0.2
Acalanes Ridge CDP,"1,134",+/-317,22,+/-35,1.9%,+/-3.1,"1,058",+/-306,93.3%,+/-5.9,0,+/-12,0.0%,+/-3.0,0,+/-12,0.0%,+/-3.0,35,+/-53,3.1%,+/-4.6,0,+/-12,0.0%,+/-3.0,0,+/-12,0.0%,+/-3.0,19,+/-29,1.7%,+/-2.5
Alamo CDP,"14,905",+/-842,"1,037",+/-238,7.0%,+/-1.6,"11,949",+/-789,80.2%,+/-2.8,43,+/-57,0.3%,+/-0.4,8,+/-14,0.1%,+/-0.1,"1,299",+/-239,8.7%,+/-1.6,10,+/-17,0.1%,+/-0.1,83,+/-127,0.6%,+/-0.8,476,+/-330,3.2%,+/-2.2
Alhambra Valley CDP,783,+/-263,53,+/-61,6.8%,+/-7.6,661,+/-247,84.4%,+/-12.6,0,+/-12,0.0%,+/-4.4,0,+/-12,0.0%,+/-4.4,0,+/-12,0.0%,+/-4.4,0,+/-12,0.0%,+/-4.4,0,+/-12,0.0%,+/-4.4,69,+/-89,8.8%,+/-11.1
Antioch city,"111,200",+/-57,"36,902","+/-2,153",33.2%,+/-1.9,"30,883","+/-1,422",27.8%,+/-1.3,"23,431","+/-1,741",21.1%,+/-1.6,242,+/-126,0.2%,+/-0.1,"12,674","+/-1,225",11.4%,+/-1.1,831,+/-598,0.7%,+/-0.5,297,+/-149,0.3%,+/-0.1,"5,940",+/-926,5.3%,+/-0.8
Bay Point CDP,"25,808","+/-1,107","16,581","+/-1,165",64.2%,+/-3.5,"3,146",+/-516,12.2%,+/-2.1,"2,537",+/-782,9.8%,+/-3.0,201,+/-135,0.8%,+/-0.5,"2,418",+/-541,9.4%,+/-2.1,183,+/-177,0.7%,+/-0.7,30,+/-40,0.1%,+/-0.2,712,+/-393,2.8%,+/-1.5
Bayview CDP (Contra Costa County),"1,862",+/-403,592,+/-299,31.8%,+/-14.1,832,+/-279,44.7%,+/-13.6,120,+/-132,6.4%,+/-7.2,0,+/-12,0.0%,+/-1.9,318,+/-273,17.1%,+/-13.5,0,+/-12,0.0%,+/-1.9,0,+/-12,0.0%,+/-1.9,0,+/-12,0.0%,+/-1.9
Bethel Island CDP,"2,161",+/-491,627,+/-411,29.0%,+/-17.0,"1,436",+/-442,66.5%,+/-16.4,50,+/-57,2.3%,+/-2.8,0,+/-12,0.0%,+/-1.6,27,+/-39,1.2%,+/-1.8,0,+/-12,0.0%,+/-1.6,0,+/-12,0.0%,+/-1.6,21,+/-31,1.0%,+/-1.5
Blackhawk CDP,"9,604",+/-547,667,+/-271,6.9%,+/-2.8,"6,270",+/-475,65.3%,+/-3.7,161,+/-152,1.7%,+/-1.6,0,+/-17,0.0%,+/-0.4,"2,059",+/-294,21.4%,+/-2.8,33,+/-51,0.3%,+/-0.5,36,+/-43,0.4%,+/-0.5,378,+/-164,3.9%,+/-1.7
Brentwood city,"61,961",+/-57,"14,212","+/-1,141",22.9%,+/-1.8,"32,372","+/-1,241",52.2%,+/-2.0,"4,809",+/-768,7.8%,+/-1.2,314,+/-227,0.5%,+/-0.4,"6,491",+/-848,10.5%,+/-1.4,296,+/-263,0.5%,+/-0.4,136,+/-128,0.2%,+/-0.2,"3,331",+/-677,5.4%,+/-1.1
Byron CDP,"1,304",+/-187,479,+/-204,36.7%,+/-12.4,729,+/-127,55.9%,+/-11.8,43,+/-37,3.3%,+/-2.9,21,+/-31,1.6%,+/-2.3,21,+/-26,1.6%,+/-2.0,0,+/-12,0.0%,+/-2.6,0,+/-12,0.0%,+/-2.6,11,+/-12,0.8%,+/-0.9
Camino Tassajara CDP,"4,721",+/-702,524,+/-343,11.1%,+/-6.8,"1,624",+/-315,34.4%,+/-7.3,76,+/-105,1.6%,+/-2.2,0,+/-12,0.0%,+/-0.7,"2,266",+/-609,48.0%,+/-9.4,0,+/-12,0.0%,+/-0.7,52,+/-56,1.1%,+/-1.2,179,+/-135,3.8%,+/-2.8
Castle Hill CDP,"1,426",+/-361,134,+/-129,9.4%,+/-8.4,"1,206",+/-320,84.6%,+/-12.1,24,+/-38,1.7%,+/-2.6,0,+/-12,0.0%,+/-2.4,62,+/-98,4.3%,+/-6.7,0,+/-12,0.0%,+/-2.4,0,+/-12,0.0%,+/-2.4,0,+/-12,0.0%,+/-2.4
Clayton city,"12,083",+/-30,"1,241",+/-290,10.3%,+/-2.4,"9,016",+/-406,74.6%,+/-3.4,279,+/-232,2.3%,+/-1.9,15,+/-25,0.1%,+/-0.2,922,+/-208,7.6%,+/-1.7,0,+/-19,0.0%,+/-0.3,3,+/-7,0.0%,+/-0.1,607,+/-231,5.0%,+/-1.9
Clyde CDP,792,+/-297,45,+/-36,5.7%,+/-4.7,594,+/-267,75.0%,+/-13.8,0,+/-12,0.0%,+/-4.3,7,+/-13,0.9%,+/-1.6,74,+/-79,9.3%,+/-9.1,0,+/-12,0.0%,+/-4.3,27,+/-35,3.4%,+/-4.2,45,+/-44,5.7%,+/-5.6
Concord city,"129,183",+/-67,"38,663","+/-1,669",29.9%,+/-1.3,"62,748","+/-1,735",48.6%,+/-1.3,"4,126",+/-708,3.2%,+/-0.5,159,+/-93,0.1%,+/-0.1,"16,053","+/-1,307",12.4%,+/-1.0,730,+/-503,0.6%,+/-0.4,256,+/-110,0.2%,+/-0.1,"6,448",+/-845,5.0%,+/-0.7
Contra Costa Centre CDP,"6,558",+/-553,737,+/-242,11.2%,+/-3.4,"3,552",+/-476,54.2%,+/-6.1,232,+/-169,3.5%,+/-2.6,0,+/-17,0.0%,+/-0.5,"1,614",+/-410,24.6%,+/-5.6,0,+/-17,0.0%,+/-0.5,0,+/-17,0.0%,+/-0.5,423,+/-191,6.5%,+/-3.0
Crockett CDP,"3,265",+/-335,662,+/-288,20.3%,+/-8.1,"2,087",+/-343,63.9%,+/-9.5,229,+/-169,7.0%,+/-5.1,26,+/-27,0.8%,+/-0.8,87,+/-86,2.7%,+/-2.6,0,+/-12,0.0%,+/-1.1,28,+/-26,0.9%,+/-0.9,146,+/-87,4.5%,+/-2.7
Danville town,"44,605",+/-65,"2,880",+/-450,6.5%,+/-1.0,"33,595",+/-985,75.3%,+/-2.2,446,+/-293,1.0%,+/-0.7,6,+/-12,0.0%,+/-0.1,"5,906",+/-793,13.2%,+/-1.8,33,+/-51,0.1%,+/-0.1,49,+/-79,0.1%,+/-0.2,"1,690",+/-439,3.8%,+/-1.0
Diablo CDP,448,+/-282,0,+/-12,0.0%,+/-7.5,448,+/-282,100.0%,+/-7.5,0,+/-12,0.0%,+/-7.5,0,+/-12,0.0%,+/-7.5,0,+/-12,0.0%,+/-7.5,0,+/-12,0.0%,+/-7.5,0,+/-12,0.0%,+/-7.5,0,+/-12,0.0%,+/-7.5
Discovery Bay CDP,"16,159",+/-811,"2,726",+/-537,16.9%,+/-2.9,"11,124",+/-582,68.8%,+/-3.2,783,+/-242,4.8%,+/-1.5,6,+/-10,0.0%,+/-0.1,981,+/-282,6.1%,+/-1.7,0,+/-19,0.0%,+/-0.2,25,+/-31,0.2%,+/-0.2,514,+/-220,3.2%,+/-1.3
East Richmond Heights CDP,"3,162",+/-363,507,+/-204,16.0%,+/-5.7,"1,676",+/-214,53.0%,+/-4.8,507,+/-135,16.0%,+/-4.3,0,+/-12,0.0%,+/-1.1,315,+/-157,10.0%,+/-4.3,0,+/-12,0.0%,+/-1.1,0,+/-12,0.0%,+/-1.1,157,+/-89,5.0%,+/-3.0
El Cerrito city,"25,398",+/-47,"2,593",+/-400,10.2%,+/-1.6,"12,065",+/-521,47.5%,+/-2.1,"1,196",+/-257,4.7%,+/-1.0,116,+/-55,0.5%,+/-0.2,"7,693",+/-544,30.3%,+/-2.1,161,+/-159,0.6%,+/-0.6,97,+/-70,0.4%,+/-0.3,"1,477",+/-268,5.8%,+/-1.1
