CountyName,Year,Avg Max Air Temp (F),Avg Max Rel Hum (%)
Fresno,2015,78.653565830721,78.15869905956113
Fresno,2016,78.01526151444185,78.16164383561645
Fresno,2017,77.77551981169086,76.59411764705882
Fresno,2018,78.04992132179386,77.49842643587726
Fresno,2019,77.89511413696437,80.72654370489174
Kern,2015,78.72106227106227,84.87912087912088
Kern,2016,79.81706422018348,84.58233670653173
Kern,2017,79.69963302752294,84.99357798165137
Kern,2018,78.3342405618964,80.6198419666374
Kern,2019,78.62158684774839,76.38027162258756
Yolo,2015,77.11041095890411,82.1082191780822
Yolo,2016,75.88536931818182,83.5997191011236
Yolo,2017,76.14799446749655,83.93655172413793
Yolo,2018,76.19341563786008,83.90821917808219
Yolo,2019,74.97849315068494,85.78767123287672
Butte,2015,77.73667262969589,85.3875
Butte,2016,75.76202185792349,93.07671232876713
Butte,2017,77.79434482758622,91.22328767123288
Butte,2018,77.18902777777777,91.73013698630137
Butte,2019,74.72123287671234,92.58356164383562
El Dorado,2015,71.65726027397261,66.05068493150685
El Dorado,2016,70.76263888888889,68.21727019498607
El Dorado,2017,70.58780821917809,68.63424657534246
El Dorado,2018,70.98027397260275,67.25068493150685
El Dorado,2019,70.69930843706777,75.85048010973937
Kings,2015,79.51698630136987,75.24109589041096
Kings,2016,79.78907103825136,77.53424657534246
Kings,2017,79.35277777777777,78.35277777777777
Kings,2018,78.82774725274724,76.13461538461539
Kings,2019,78.16082191780822,79.58356164383562
Inyo,2015,75.16373626373625,62.967123287671235
Inyo,2016,76.36024590163935,65.09575923392613
Inyo,2017,74.84219910846953,69.63501483679525
Inyo,2018,75.95034293552813,64.86164383561643
Inyo,2019,72.57931506849314,66.06027397260274
Imperial,2015,87.51411214953272,74.08106863196683
Imperial,2016,88.51386593204775,71.66283876894809
Imperial,2017,89.21609353507564,70.65016047684549
Imperial,2018,88.61005118659841,69.24685020998601
Imperial,2019,86.22080123266565,69.89711934156378
Shasta,2015,73.61479452054795,84.83150684931506
Shasta,2016,70.73989071038253,86.72913816689467
Shasta,2017,70.9772602739726,84.4986301369863
Shasta,2018,71.62851239669422,87.07162534435261
Shasta,2019,69.42561643835616,90.13287671232877
Riverside,2015,83.70405249827309,74.95313576843556
Riverside,2016,84.27939722156816,74.10235849056603
Riverside,2017,84.47748887327243,74.22753792298717
Riverside,2018,84.08797483104172,73.71378991207774
Riverside,2019,82.08342397729959,75.40830048690007
Contra Costa,2015,71.81429567642957,90.16724019270475
Contra Costa,2016,70.77039800995024,92.85998755444929
Contra Costa,2017,71.47106164383561,89.64293849658314
Contra Costa,2018,71.26827661909988,87.76015367727771
Contra Costa,2019,70.7584487534626,90.57641196013289
San Luis Obispo,2015,72.34068493150684,91.73424657534247
San Luis Obispo,2016,71.50041493775934,92.24133148404994
San Luis Obispo,2017,72.93595915390226,89.31245447924253
San Luis Obispo,2018,72.64491279069767,91.44144783534422
San Luis Obispo,2019,70.18164383561644,91.83150684931506
Santa Barbara,2015,74.69000392003136,88.51154598825832
Santa Barbara,2016,73.45752602081666,89.8016
Santa Barbara,2017,73.29533898305085,86.93954874414645
Santa Barbara,2018,74.75833333333334,88.51753670473083
Santa Barbara,2019,72.91422413793103,89.40626223091976
San Joaquin,2015,73.9047393364929,95.96682464454976
San Joaquin,2016,77.46523364485982,95.333021515435
San Joaquin,2017,76.6283044982699,91.61868512110726
San Joaquin,2018,76.39294520547945,93.6945205479452
San Joaquin,2019,75.48446269678303,93.31485284052019
Stanislaus,2015,76.24463794683776,90.44931506849315
Stanislaus,2016,76.56631578947369,88.9616122840691
Stanislaus,2017,76.17364928909953,89.16666666666667
Stanislaus,2018,75.34821917808219,90.72511415525115
Stanislaus,2019,74.99334565619223,93.8354898336414
Orange,2015,76.50979133226323,85.92937399678972
Orange,2016,75.22587155963302,90.3905109489051
Orange,2017,75.00233236151603,91.28279883381924
Orange,2018,74.92394495412844,80.49223744292237
Orange,2019,72.45279560036664,88.81461187214612
Napa,2015,77.28512396694215,88.23013698630137
Napa,2016,69.39044776119404,93.21492537313434
Napa,2017,74.91698630136986,93.34794520547945
Napa,2018,74.07890410958903,91.8958904109589
Napa,2019,73.10164383561643,90.01700680272108
Los Angeles,2015,77.73177008177008,78.625
Los Angeles,2016,77.66922081283977,79.43415265200518
Los Angeles,2017,77.84743788819875,78.76172076249355
Los Angeles,2018,77.498,76.85664979291302
Los Angeles,2019,75.28881655428971,82.53122130394857
Sonoma,2015,72.68072232645403,95.50468164794007
Sonoma,2016,69.93201107011069,98.12939001848429
Sonoma,2017,71.57853274249139,95.8547513540128
Sonoma,2018,70.92849315068493,95.33287671232877
Sonoma,2019,71.30109689213893,94.61187214611873
Yuba,2015,75.80547945205478,77.8082191780822
Yuba,2016,74.50630136986301,80.1043956043956
Yuba,2017,74.84022038567493,80.86501377410468
Yuba,2018,74.84465753424658,75.7972602739726
Yuba,2019,73.39808219178082,76.34078212290503
Modoc,2015,65.42,89.35342465753425
Modoc,2016,63.04945355191258,88.88493150684931
Modoc,2017,63.15041095890411,89.83835616438355
Modoc,2018,63.373351648351644,90.39835164835165
Modoc,2019,61.320273972602735,90.62739726027397
Siskiyou,2015,67.642983159583,90.89494787489976
Siskiyou,2016,63.79924033149172,92.76523545706371
Siskiyou,2017,63.64615912208505,92.2013698630137
Siskiyou,2018,64.53835616438356,91.65205479452055
Siskiyou,2019,61.92289156626506,93.06506024096386
Santa Cruz,2015,68.4087912087912,90.2551440329218
Santa Cruz,2016,66.25308641975309,91.57338820301783
